,median,meanci_1,Diff_median_of_plot,Diff_mean_of_row,Type,Y_binary
660,2.789916990000002,3.596273959999998,-0.110042572,-0.369463004,Control,1.0
383,4.629969019999997,5.222487180000002,-0.550094604,-0.318880238,Clog,0.0
503,2.839953989999998,3.587957110000005,-0.060079575,-0.278125957,Control,1.0
530,3.624656680000001,4.474221890000003,-0.21434021,-0.749336885,Control,1.0
624,3.579911800000005,4.260905600000001,-0.800037384,-0.853878631,Control,1.0
737,4.374756239999996,4.950196069999997,-0.794881821,-0.813564549,Control,1.0
638,3.609889600000002,3.930876430000005,-0.830015182,-0.547976,Control,1.0
736,4.219878390000002,4.907865099999999,-0.340003967,-0.408374579,Control,1.0
162,2.659970470000001,3.430905409999998,-0.280096054,-0.597547322,Clog,0.0
549,3.390127559999996,3.949216649999997,-0.810253143,-0.742255909,Control,1.0
152,2.10002441,2.85269568,0.279850006,0.098326693,Clog,0.0
533,3.460189060000001,4.021726480000002,0.150127411,-0.071996463,Control,1.0
548,3.30004349,3.7877996,-0.720169067,-0.62343141,Control,1.0
587,3.339989089999996,3.846978010000001,-0.76011467,-0.722025709,Control,1.0
111,2.299870299999998,2.899193350000001,0.18000412,0.17869852,Leak,1.0
226,3.010092159999999,3.63769293,0.069782257,-0.027303434,Clog,0.0
539,2.900253300000003,3.522991560000001,-0.220378876,-0.52663189,Control,1.0
103,4.039888000000005,4.635067730000003,-0.76001358,-0.713322029,Leak,1.0
421,2.529968259999997,3.161797270000001,0.149906158,0.332899181,Clog,0.0
419,1.620014189999999,2.292225559999999,1.059860229,0.930079071,Clog,0.0
119,2.350273129999998,3.090176200000002,0.329601288,0.239182408,Leak,1.0
53,2.660171130000002,3.461794510000004,0.119703293,0.141379838,Leak,1.0
151,2.17009277,2.688482879999999,0.209781647,0.17168616,Clog,0.0
403,4.13000641,4.896541820000003,-0.850131989,-0.875625171,Clog,0.0
718,4.420047,4.941142129999999,-0.540172577,-0.666625142,Control,1.0
207,2.629938509999995,3.301681109999997,-0.050064087,0.05241083,Clog,0.0
645,2.869949339999998,3.390528500000002,-0.190074921,-0.109174325,Control,1.0
593,3.01997223,3.38820827,-0.440097809,-0.280837915,Control,1.0
8,2.359972380000002,3.0353104,0.219902039,0.427169671,Leak,1.0
621,3.630139920000005,4.044375430000002,-0.850265503,-0.647073532,Control,1.0
36,2.469815830000002,3.276176660000004,0.310058594,-0.202197186,Leak,1.0
452,3.769954679999998,4.504733969999997,-1.090080261,-1.306770437,Control,1.0
253,2.069969940000004,2.814832230000004,0.40990448,0.189422969,Clog,0.0
303,3.360185620000003,4.003326999999999,-0.180311203,0.650966466,Clog,0.0
581,3.479929349999999,3.890998849999995,-0.900054932,-0.710579915,Control,1.0
554,3.390048980000003,3.759641260000002,-0.710174561,-0.447766824,Control,1.0
722,4.389927670000002,4.954950450000002,-0.410053253,-0.475244307,Control,1.0
262,2.19991379,3.011122850000003,0.279960632,-0.090078001,Clog,0.0
297,3.089891819999998,3.785701249999995,-0.010017395,-0.416797837,Clog,0.0
414,2.210068510000003,2.735123810000001,0.269805908,0.652063467,Clog,0.0
150,2.10978622,2.899151809999996,0.770088196,0.108157277,Leak,1.0
609,3.370035549999997,3.730929519999997,-0.790161133,-0.524853454,Control,1.0
679,3.440106960000001,3.862082860000001,-0.660232544,-0.64644952,Control,1.0
488,5.009907909999999,5.57436066,-1.130033493,-1.155722552,Control,1.0
147,2.249977110000003,2.801988510000001,0.429897308,0.333816696,Leak,1.0
146,3.659849549999997,4.166703779999999,-0.079975128,-0.12355153,Leak,1.0
589,2.820230869999996,3.315272199999995,-0.240356445,-0.182107415,Control,1.0
707,4.250109859999998,4.9660574,-0.370235443,-0.749457321,Control,1.0
576,4.049658199999996,4.250446689999997,-1.469783783,-1.043587415,Control,1.0
348,4.65016327,5.141467660000004,-1.139846802,-1.276989645,Clog,0.0
463,2.59979744,3.327293209999997,0.510519028,0.558043634,Control,1.0
325,4.67972031,5.137540119999997,-1.099845886,-0.943202438,Clog,0.0
186,4.400055689999999,5.017758840000003,-0.420181274,-0.390598506,Clog,0.0
123,3.305115129999997,3.749889039999999,-0.725240707,-0.567058076,Leak,1.0
651,3.619998930000001,4.090334230000003,-0.940124512,-0.837718233,Control,1.0
143,1.319949339999997,2.221463799999999,1.059925079,0.488014488,Leak,1.0
728,4.389958189999998,4.846005209999998,-0.410083771,-0.249505538,Control,1.0
197,4.0199192,4.517131799999998,-0.040044785,-0.165550415,Clog,0.0
279,4.290258789999996,4.752897529999998,-0.979942322,-1.045850742,Clog,0.0
293,2.760110470000001,3.491551530000002,0.019763947,0.090409225,Clog,0.0
400,4.329938509999998,4.781046100000005,-1.050064087,-0.785082131,Clog,0.0
122,2.360019680000001,2.947479950000002,0.319854736,0.269889505,Leak,1.0
183,2.570069889999999,3.050327469999999,0.209804535,0.125389851,Clog,0.0
202,2.670180890000005,3.382725900000004,0.109693527,0.032991951,Clog,0.0
438,4.400253679999999,5.003962569999999,-1.08993721,-1.078945296,Clog,0.0
246,3.180216219999998,3.765549110000002,-0.600341797,-0.64348392,Clog,0.0
415,4.370088199999998,4.960512470000005,-1.090213776,-0.980387319,Clog,0.0
678,3.024928670000001,3.696184209999998,-0.245054245,-0.47990342,Control,1.0
129,2.670202639999999,3.169998209999996,-0.090328217,0.014717292,Leak,1.0
402,3.490203860000001,4.311498059999998,-0.310329437,-0.434924359,Clog,0.0
605,2.980033490000004,3.78690658,-0.200159073,-0.532199721,Control,1.0
597,3.150022889999995,3.523043610000002,-0.570148468,-0.45377983,Control,1.0
692,3.264999010000004,3.998316070000001,-0.485124588,-0.833754905,Control,1.0
219,2.515021129999997,3.1522203,-0.035146713,-0.015489972,Clog,0.0
694,3.620078660000004,4.111915140000001,-0.840204239,-0.958549609,Control,1.0
584,2.849903489999996,3.448884100000001,-0.270029068,-0.235750382,Control,1.0
697,3.460044480000001,4.09094408,-0.680170059,-0.989717527,Control,1.0
744,3.710401919999995,4.433896349999998,-0.130527496,-0.27865222,Control,1.0
386,1.88996315,2.788438419999999,0.78991127,0.396602206,Clog,0.0
739,3.609892269999996,4.240356649999995,-0.030017853,-0.088970508,Control,1.0
509,3.849908070000001,4.588617869999997,0.029966354,-0.222397739,Control,1.0
267,2.999938960000001,3.683448460000001,0.410377502,0.099331843,Clog,0.0
630,3.049937820000004,3.66661663,-0.2700634,-0.277022967,Control,1.0
441,3.200182339999998,3.906495749999998,0.110134125,-0.001472285,Clog,0.0
496,3.460073850000001,3.955774069999997,-0.380199432,-0.284957411,Control,1.0
112,2.729877469999998,3.243933230000003,-0.050003052,-0.027635147,Leak,1.0
232,2.134901809999999,2.729808000000002,0.34497261,0.437569987,Clog,0.0
665,3.459924319999999,4.065075620000002,-0.680049896,-0.553824123,Control,1.0
373,3.160182949999999,3.85837918,0.019691467,0.750946101,Clog,0.0
233,2.429981989999998,3.137755780000003,0.549892426,0.113021973,Clog,0.0
606,2.974982830000002,3.508889360000005,-0.195108414,-0.24242847,Control,1.0
317,3.569824980000003,4.070932979999998,-0.589950562,0.012856022,Clog,0.0
410,3.295072939999997,3.897121779999999,0.284801483,0.239012499,Clog,0.0
683,3.050019840000004,3.608818939999999,-0.270145416,-0.399703586,Control,1.0
358,2.110028080000003,2.809279460000003,0.369846344,-0.209739743,Clog,0.0
258,1.799926759999998,2.389273609999996,0.879947662,0.460169544,Clog,0.0
282,2.430046079999997,3.177997550000001,0.980270386,0.225051458,Clog,0.0
376,2.149930570000002,2.82844841,0.629943848,0.34302581,Clog,0.0
384,2.320092390000003,2.850738580000002,0.559782028,0.133693163,Clog,0.0
224,2.639925380000001,3.265392769999998,-0.060050964,-0.153774968,Clog,0.0
724,4.329951480000002,4.945424489999997,-0.450077057,-0.560925018,Control,1.0
626,2.879972080000002,3.549820780000005,-0.100097656,-0.148365637,Control,1.0
472,2.860717009999998,3.342685499999998,0.249599457,0.508913653,Control,1.0
347,4.439874270000004,5.074279340000004,-0.9295578,-1.28443401,Clog,0.0
505,4.210029599999999,4.692223769999998,-1.030155182,-0.104280922,Control,1.0
751,4.089918519999998,4.849591459999999,-0.510044098,-0.768229854,Control,1.0
705,4.125096510000002,4.698549959999998,-0.245222092,-0.513828274,Control,1.0
688,3.149964900000001,3.820428210000003,-0.370090485,-0.629197792,Control,1.0
653,2.919965740000002,3.72006288,-0.240091324,-0.499672946,Control,1.0
716,4.809985350000002,5.21928024,-0.930110931,-0.985136447,Control,1.0
556,2.830040359999998,3.318703880000001,-0.250165939,-0.153093365,Control,1.0
577,3.879846950000001,4.239362639999996,-1.299972534,-1.045974512,Control,1.0
85,2.149717330000001,2.833634680000003,0.530157089,0.409449949,Leak,1.0
242,2.749855800000002,3.434664899999998,-0.269981384,0.025567282,Clog,0.0
159,2.649924469999998,3.36428467,-0.270050049,-0.698972557,Clog,0.0
524,2.710142519999998,3.49661004,0.60017395,0.252586003,Control,1.0
35,2.539972689999999,3.227004059999999,0.039901733,0.174220949,Leak,1.0
540,2.980173110000003,3.440945249999999,-0.300298691,-0.40101939,Control,1.0
170,2.569923779999996,3.356954309999999,0.009950638,0.098581823,Clog,0.0
655,2.980195620000003,3.579346139999998,-0.200321198,-0.259691307,Control,1.0
666,3.399915310000004,3.899839790000001,-0.620040894,-0.400545185,Control,1.0
717,3.939990229999996,4.737793129999996,-0.060115814,-0.511435949,Control,1.0
95,2.345026019999999,2.950270260000003,0.334848404,0.326487158,Leak,1.0
563,3.280187990000002,3.712958829999998,-0.700313568,-0.530437226,Control,1.0
240,2.38997269,3.138999249999998,0.289901733,0.087123505,Clog,0.0
574,3.250337979999998,3.707608479999998,-0.670463562,-0.509926899,Control,1.0
460,3.390050510000002,3.79563606,-1.110176086,-1.171280565,Control,1.0
553,3.4399704,3.799941509999996,-0.860095978,-0.596864594,Control,1.0
671,2.789913179999999,3.58768448,-0.110038757,-0.223504982,Control,1.0
206,2.25983124,2.922099230000004,0.220043182,0.194878218,Clog,0.0
392,3.189942930000001,3.79065611,0.089931488,0.226986906,Clog,0.0
397,2.269768520000003,2.985101690000004,0.210105896,0.108823018,Clog,0.0
648,3.300069430000001,3.712547880000002,-0.520195007,-0.348713698,Control,1.0
217,2.02996559,2.641450670000001,0.849908829,0.358009855,Clog,0.0
4,2.895096589999998,3.564390159999999,0.584777832,0.644558835,Leak,1.0
682,3.069955440000001,3.810328339999998,-0.290081024,-0.616805768,Control,1.0
612,3.140139009999999,3.571297109999996,-0.560264587,-0.356403447,Control,1.0
546,2.939863590000002,3.556699609999995,-0.359989166,-0.368234336,Control,1.0
98,4.199958799999997,4.798528519999998,-1.020084381,-0.523074682,Leak,1.0
573,3.615065000000001,3.743815169999998,-1.035190582,-0.585514761,Control,1.0
406,3.989982990000001,4.644225409999997,-0.410108566,-0.497330701,Clog,0.0
502,3.130040739999998,3.646418310000001,-0.350166321,-0.240053953,Control,1.0
47,2.649800109999997,3.30531315,-0.16992569,-0.230224554,Leak,1.0
32,2.719881440000002,3.330017130000002,-0.140007019,0.113611718,Leak,1.0
200,2.390037540000002,3.036695539999997,0.289836884,0.164729585,Clog,0.0
134,2.710037229999998,3.154044300000002,-0.030162811,0.06191056,Leak,1.0
27,2.379930879999996,3.070647520000001,0.199943542,0.137071024,Leak,1.0
673,2.870006180000004,3.70413654,-0.09013176,-0.24862128,Control,1.0
230,2.290190509999999,2.963756239999999,0.689683914,0.270195599,Clog,0.0
489,4.204926679999996,4.901020489999997,-0.325052261,-0.440264114,Control,1.0
378,3.314957049999997,3.909853980000001,0.264917374,0.264230135,Clog,0.0
288,3.44992027,4.009529090000001,-0.670045853,-0.445062555,Clog,0.0
418,1.639947509999999,2.316552659999999,1.13992691,0.959006258,Clog,0.0
391,4.220165250000001,4.857817670000003,-1.040290833,-0.608970473,Clog,0.0
592,2.829924009999999,3.449854619999996,-0.250049591,-0.378278281,Control,1.0
498,3.28987274,3.857248740000003,-0.509998322,-0.299377975,Control,1.0
138,2.290021899999999,2.944059279999998,0.389852524,0.384019656,Leak,1.0
62,2.869760130000003,3.492435960000002,-0.089885712,-0.138133171,Leak,1.0
471,3.519631200000003,4.080658099999997,-0.309314728,-0.36518329,Control,1.0
647,3.449782939999999,3.942929939999999,-0.669908524,-0.576320303,Control,1.0
128,2.389865880000002,3.340950120000002,0.290008545,0.012659935,Leak,1.0
742,4.180509950000001,4.791470650000001,-0.600635529,-0.766321185,Control,1.0
520,4.689938739999999,5.21242071,-0.810064316,-0.86080239,Control,1.0
64,2.330554960000001,2.95497933,0.349319458,0.327839352,Leak,1.0
14,3.1802536,3.847148600000004,-0.400379181,-0.475625009,Leak,1.0
156,1.849965289999997,2.522636139999999,0.529909134,0.316746579,Clog,0.0
40,2.661384200000001,3.393467090000001,0.118490219,0.321315917,Leak,1.0
492,3.639902499999998,4.305177020000002,-0.329586029,-0.525115012,Control,1.0
379,2.33005524,3.007395189999997,0.349819183,0.386360949,Clog,0.0
187,2.409928890000003,2.941084680000003,0.369945526,0.231460702,Clog,0.0
216,2.63989716,3.105717700000003,-0.160022736,0.247862002,Clog,0.0
52,2.489793779999999,3.289250799999998,0.190080643,-0.065646136,Leak,1.0
337,2.179691699999999,2.869420589999997,0.400182724,0.23460956,Clog,0.0
295,3.280351260000003,3.762100410000002,-0.500476837,-0.233128184,Clog,0.0
251,2.389855959999998,3.19201966,-0.109981537,-0.608640866,Clog,0.0
461,3.03486938,3.732752639999998,0.075447083,0.138700513,Control,1.0
455,2.770333860000001,3.263440660000001,-0.490459442,-0.629530304,Control,1.0
760,4.024803540000001,4.70263491,-0.444929123,-0.47111596,Control,1.0
269,3.494879149999996,4.069299889999996,-0.184562683,-0.163345398,Clog,0.0
201,2.299976350000001,2.976469629999997,0.379898071,0.173133982,Clog,0.0
161,2.65008087,3.324565449999998,-0.270206451,-0.660269872,Clog,0.0
555,2.700099950000002,3.511647799999999,-0.020225525,-0.204031049,Control,1.0
401,4.500118260000001,5.17098206,-1.320243835,-0.936032948,Clog,0.0
476,2.920182799999999,3.718132390000001,-0.14030838,-0.144271109,Control,1.0
105,1.93996735,2.704096189999998,0.939907074,0.277052057,Leak,1.0
565,3.080000309999996,3.537413860000001,-0.500125885,-0.358635478,Control,1.0
389,2.569884489999996,3.024728319999998,0.309989929,-0.060993439,Clog,0.0
1,2.990052800000001,3.621154619999999,-0.210178375,-0.564697271,Leak,1.0
712,4.720007710000001,5.193725539999999,-0.740133286,-0.818704421,Control,1.0
561,2.779764559999997,3.333460770000002,-0.199890137,-0.182960795,Control,1.0
80,2.460121539999996,3.13785661,0.119752884,0.032693508,Leak,1.0
205,2.159735870000002,2.788556089999997,0.72013855,0.202728914,Clog,0.0
34,2.940275569999997,3.547267890000001,-0.360401154,-0.34181389,Leak,1.0
508,3.90004807,4.380149530000001,-0.920173645,-0.165640444,Control,1.0
427,3.980052189999999,4.57395241,-0.100177765,-0.086656207,Clog,0.0
454,2.710110090000001,3.355778029999996,-0.130235672,-0.151527956,Control,1.0
366,1.920058440000002,2.567379499999998,0.459815979,0.027822396,Clog,0.0
91,3.314962389999998,3.677408870000001,-0.635087967,-0.460858577,Leak,1.0
339,4.620096589999996,5.317482479999995,-1.040222168,-1.075588629,Clog,0.0
564,3.144924549999999,3.5197699,-0.565050125,-0.396076761,Control,1.0
345,5.159901809999997,5.70175875,-1.28002739,-1.244020096,Clog,0.0
241,2.259948729999998,2.830201010000003,0.41992569,0.398804002,Clog,0.0
13,2.609951019999997,3.108447730000002,0.069923401,-0.257392426,Leak,1.0
315,2.62996674,3.275761950000003,0.049907684,-0.031019062,Clog,0.0
600,3.370008849999998,3.646637290000001,-0.79013443,-0.614158699,Control,1.0
387,2.630010220000003,3.278852480000005,0.149864197,0.142443261,Clog,0.0
273,2.949858860000003,3.571329389999999,0.660457611,0.315529322,Clog,0.0
166,3.139996720000003,3.64093789,-0.760122299,-0.795857277,Clog,0.0
756,3.900381469999999,4.585358739999997,-0.32050705,-0.478185101,Control,1.0
646,3.280240630000002,3.891138300000001,-0.500366211,-0.542691255,Control,1.0
484,2.950040440000002,3.670433860000003,-0.170166016,-0.406907679,Control,1.0
745,4.090029139999999,4.6320859,-0.510154724,-0.499563179,Control,1.0
504,3.549710080000001,4.040096909999999,-0.569835663,-0.672530753,Control,1.0
243,3.880033109999999,4.56282083,-1.100158691,-1.436599392,Clog,0.0
566,3.050024409999999,3.573317949999996,-0.470149994,-0.391842835,Control,1.0
562,3.700168990000002,4.27934604,-1.120294571,-1.163270432,Control,1.0
686,3.28994522,4.038853330000002,-0.510070801,-0.88065937,Control,1.0
189,2.200047299999998,2.782073620000002,0.279827118,0.630801758,Clog,0.0
699,3.830026250000003,4.498637309999999,-1.050151825,-1.333822217,Control,1.0
475,4.009805300000004,4.657842930000001,-1.229930878,-1.007641923,Control,1.0
681,3.3399559,3.9698262,-0.560081482,-0.732264651,Control,1.0
510,4.330149079999998,4.951950920000002,-0.750274658,-0.892492521,Control,1.0
58,2.62995377,3.393478609999995,-0.050079346,-0.148976945,Leak,1.0
474,2.990151600000001,3.531190720000001,-0.610277176,-0.681614675,Control,1.0
560,3.179991149999999,3.714256290000002,-0.60011673,-0.546114324,Control,1.0
252,2.649907679999998,3.284356250000002,-0.370033264,-0.497236516,Clog,0.0
21,2.910284419999996,3.462909109999998,-0.330410004,-0.237885515,Leak,1.0
313,2.600036619999997,3.254216470000003,0.079837799,-0.019112961,Clog,0.0
459,2.60992165,3.217764259999999,-0.230047226,-0.712611409,Control,1.0
160,2.399928280000001,2.940010619999999,-0.020053864,-0.462673211,Clog,0.0
276,4.040092469999998,4.422733780000002,-0.629776001,-0.505879529,Clog,0.0
191,3.439938350000002,4.141233410000002,0.539936066,0.168742051,Clog,0.0
385,2.519994350000005,3.19722118,0.259880066,0.208780152,Clog,0.0
413,2.80004272,3.244313429999998,-0.020168304,0.098740343,Clog,0.0
491,4.779895020000001,5.401256069999999,-0.900020599,-1.029956153,Control,1.0
343,4.1900856,4.798715310000002,-0.310211182,-0.500028411,Clog,0.0
308,2.51992035,3.204479800000001,0.159954071,0.152274113,Clog,0.0
661,3.170055390000002,3.712296539999997,-0.490180969,-0.492728305,Control,1.0
130,2.60998764,3.29053657,-0.03011322,0.121872157,Leak,1.0
663,3.199865340000002,3.824538029999999,-0.519990921,-0.575344491,Control,1.0
99,4.060229870000001,4.501593910000004,-0.780355453,-0.519044766,Leak,1.0
372,2.430037690000002,3.006773749999997,0.449836731,0.129069687,Clog,0.0
87,2.060242080000002,2.884859939999998,0.519632339,0.280666403,Leak,1.0
458,3.110157779999998,3.609760480000002,-0.630283356,-0.186457806,Control,1.0
330,2.879813389999999,3.548827550000002,1.000061035,0.730646169,Clog,0.0
214,4.280323029999998,4.703902249999999,-1.100448608,-0.320721088,Clog,0.0
466,3.370171360000004,4.127680700000003,0.340145111,-0.10470755,Control,1.0
121,1.889987949999998,2.721606250000001,0.789886475,0.437769852,Leak,1.0
614,2.990050889999999,3.573427620000004,-0.210176468,-0.172009966,Control,1.0
20,2.520190429999996,3.316705029999998,0.35968399,-0.092537493,Leak,1.0
700,3.629912569999998,4.178354989999999,-0.750038147,-0.928444449,Control,1.0
71,2.119646070000002,2.787415119999999,0.560228348,0.29831616,Leak,1.0
106,1.679944990000003,2.388140210000003,0.999929428,0.755521025,Leak,1.0
270,3.680190280000001,4.231542809999997,-0.56987381,-0.31800661,Clog,0.0
435,4.28500519,4.832505210000001,-0.774688721,-0.966233876,Clog,0.0
102,3.429975130000003,4.15717102,-0.150100708,-0.254613702,Leak,1.0
