,ACC,Algorithm,F1score,F2score,MCC,model_index,parameters,FNR,FNR_Leak,FNR_Clog,MCC_multiclass,FPR,FPR_Leak,FPR_Clog,balanced_ACC
33,0.789165932,RF,0.797384619,0.749387104,0.600474112,34,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 8}",0.278910629,0.201473684,0.314551495,0.67640365,0.117333333,0.013772205,0.063105769,0.801878019
10,0.77418092,svm_rbf,0.769040214,0.693203312,0.599622874,11,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.01}",0.349476467,0.223894737,0.407619048,0.665561265,0.056,0,0.039019231,0.797261766
113,0.788799154,RF,0.797706759,0.750782548,0.598585209,114,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 8}",0.276964569,0.201368421,0.311694352,0.67539974,0.120888889,0.014691745,0.064326923,0.801073271
115,0.7887921,RF,0.7977024,0.751619591,0.59797916,116,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 8}",0.27566367,0.197368421,0.311716501,0.675341976,0.122666667,0.016525601,0.063096154,0.800834832
50,0.788767413,RF,0.797469551,0.750750351,0.597914637,51,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 10}",0.276996298,0.197578947,0.313599114,0.674007324,0.120888889,0.008725183,0.072432692,0.801057406
133,0.790654206,RF,0.801950881,0.761000811,0.59750861,134,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 10}",0.263384453,0.185157895,0.299424142,0.676338209,0.135111111,0.014231975,0.074855769,0.800752218
17,0.783184624,RF,0.787316313,0.73108322,0.596938683,18,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 5}",0.30153358,0.211684211,0.342990033,0.672073185,0.100444444,0.020193312,0.042673077,0.799010988
91,0.78243696,RF,0.786041918,0.728915017,0.596581209,92,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 5}",0.304124802,0.209684211,0.347751938,0.671736122,0.098666667,0.020658307,0.040807692,0.798604266
31,0.787677658,RF,0.796400866,0.749495468,0.596428395,32,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 8}",0.278244315,0.203368421,0.312646733,0.673182178,0.121777778,0.012857889,0.067403846,0.799988954
16,0.781689296,RF,0.784887879,0.726432861,0.596050523,17,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}",0.307371761,0.221789474,0.346843854,0.669908207,0.096,0.016525601,0.044519231,0.79831412
73,0.791782754,RF,0.805148019,0.768438432,0.59561474,74,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 20}",0.253696457,0.172947368,0.290919158,0.676538571,0.145777778,0.01514629,0.081038462,0.800262883
39,0.788425322,RF,0.798347553,0.753975625,0.595405633,40,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 8}",0.272427287,0.195368421,0.308017719,0.674160481,0.128,0.019273772,0.063067308,0.799786356
17,0.780909892,svm_rbf,0.783427033,0.721916925,0.595359347,18,"{'kernel': 'rbf', 'C': 10, 'gamma': 0.001}",0.313886832,0.203473684,0.364939092,0.66642771,0.088888889,0,0.061951923,0.798612139
44,0.789176512,RF,0.800165858,0.758707762,0.595144968,45,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 10}",0.265943945,0.197368421,0.29751938,0.673911935,0.135111111,0.014231975,0.074836538,0.799472472
11,0.783921707,svm_rbf,0.788904703,0.734778662,0.595100091,12,"{'kernel': 'rbf', 'C': 1, 'gamma': 0.1}",0.296985722,0.178947368,0.351539313,0.668984016,0.104888889,0.002293626,0.07,0.799062695
101,0.788425322,RF,0.798561405,0.755270598,0.594842151,102,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 8}",0.27047065,0.197578947,0.304075305,0.673099857,0.130666667,0.013777429,0.072403846,0.799431341
36,0.785787339,RF,0.793593371,0.74469231,0.594663233,37,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 8}",0.284093072,0.205684211,0.320287929,0.671802999,0.118222222,0.016985371,0.059394231,0.798842353
53,0.78953271,RF,0.801185496,0.760743695,0.594640205,54,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 10}",0.263395029,0.189263158,0.297541528,0.674141118,0.137777778,0.014691745,0.076105769,0.799413597
32,0.785413507,RF,0.79250685,0.742275806,0.594542294,33,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 8}",0.287350608,0.213789474,0.321218162,0.669956826,0.114666667,0.011018809,0.064980769,0.798991363
35,0.786912361,RF,0.795797388,0.749291974,0.594289994,36,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 8}",0.278276044,0.199473684,0.314573643,0.67230089,0.123555556,0.016985371,0.063105769,0.7990842
75,0.791789808,RF,0.805930027,0.77083418,0.594239359,76,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 20}",0.250417768,0.164842105,0.289944629,0.676573002,0.150222222,0.018829676,0.079182692,0.799680005
11,0.780938106,RF,0.78417531,0.726566461,0.594064245,12,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 5}",0.306737176,0.211894737,0.350586932,0.669175071,0.098666667,0.019273772,0.042644231,0.797298079
77,0.789906542,RF,0.801872613,0.763124986,0.59392732,78,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 20}",0.260116341,0.179052632,0.297497231,0.674801098,0.141333333,0.019738767,0.071759615,0.799275163
135,0.78877094,RF,0.799953936,0.758675504,0.593838934,136,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 10}",0.265943945,0.185157895,0.30316722,0.673828145,0.136,0.017450366,0.071192308,0.799028027
131,0.789151825,RF,0.800656555,0.759792273,0.593828091,132,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 10}",0.264674775,0.179052632,0.304119601,0.673135954,0.136888889,0.011478579,0.079817308,0.799218168
37,0.786929995,RF,0.796123591,0.75066013,0.59372736,38,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 8}",0.276287678,0.193157895,0.314551495,0.672604105,0.126222222,0.018819227,0.062471154,0.79874505
105,0.789190619,RF,0.800477276,0.760161421,0.593721651,106,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 8}",0.263966155,0.187157895,0.299401993,0.673842667,0.137777778,0.018364681,0.071163462,0.799128033
13,0.781308411,RF,0.785409695,0.728727835,0.59351015,14,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 5}",0.304135378,0.211684211,0.346777409,0.669249211,0.101333333,0.020193312,0.043288462,0.797265644
70,0.786542056,RF,0.795410139,0.749548689,0.593420262,71,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 20}",0.277599154,0.209684211,0.308881506,0.670055112,0.125333333,0.009639498,0.074269231,0.798533756
74,0.787303826,RF,0.797063309,0.751926516,0.593265722,75,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.275007932,0.207578947,0.306090808,0.671299773,0.127111111,0.015151515,0.068076923,0.798940478
79,0.788795627,RF,0.800327282,0.759273838,0.593223622,80,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 20}",0.26530936,0.183263158,0.303233666,0.673943426,0.136888889,0.021572623,0.066163462,0.798900875
71,0.790647152,RF,0.804334143,0.768200001,0.592599968,72,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 20}",0.25368588,0.169052632,0.292779623,0.673692877,0.148444444,0.011018809,0.088480769,0.798934838
157,0.789165932,RF,0.801057628,0.762414219,0.592491541,158,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 20}",0.260750925,0.170842105,0.302259136,0.673840733,0.142222222,0.020193312,0.071759615,0.798513426
124,0.788055017,RF,0.799112124,0.75795454,0.592476282,125,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 10}",0.26657853,0.197263158,0.298493909,0.67163507,0.136888889,0.013312435,0.077326923,0.798266291
97,0.781308411,RF,0.785872152,0.730584023,0.59228924,98,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 5}",0.30153358,0.207578947,0.344872647,0.669166882,0.104888889,0.022946708,0.042048077,0.796788765
42,0.788044437,RF,0.79906489,0.757209453,0.592175897,43,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 10}",0.267879429,0.201578947,0.298383167,0.670394088,0.135111111,0.009184953,0.081721154,0.79850473
55,0.788795627,RF,0.800648345,0.761069847,0.592170926,56,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 10}",0.262675833,0.191157895,0.295570321,0.672618586,0.140444444,0.017445141,0.074259615,0.798439861
117,0.786175278,RF,0.795409903,0.749990691,0.592110371,118,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 8}",0.276943416,0.193368421,0.315526024,0.67113192,0.127111111,0.018359457,0.063701923,0.797972736
54,0.786538529,RF,0.796394404,0.750836744,0.592088698,55,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 10}",0.276319408,0.209684211,0.307065338,0.670508017,0.127111111,0.016530825,0.066230769,0.798284741
151,0.790276847,RF,0.80390789,0.767608761,0.592040296,152,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 20}",0.254352195,0.165052632,0.295636766,0.673367318,0.148444444,0.011478579,0.087875,0.79860168
12,0.778310704,RF,0.780138225,0.719260996,0.591909554,13,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 5}",0.315790587,0.219894737,0.360110742,0.66568007,0.092444444,0.015611285,0.043298077,0.795882484
30,0.783547875,RF,0.790272427,0.739765496,0.591695696,31,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 8}",0.289899524,0.213894737,0.32496124,0.667591209,0.115555556,0.011938349,0.064384615,0.79727246
155,0.789553871,RF,0.802577167,0.765491961,0.591658266,156,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 20}",0.256848228,0.172842105,0.29559247,0.67333957,0.146666667,0.017450366,0.078567308,0.798242552
122,0.786552636,RF,0.79653176,0.752874998,0.591521042,123,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 10}",0.273051296,0.207684211,0.303122924,0.669560179,0.131555556,0.011478579,0.076144231,0.797696574
93,0.779813084,RF,0.78350471,0.726361659,0.591173279,94,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 5}",0.306716023,0.211684211,0.350564784,0.667334424,0.101333333,0.021112853,0.042048077,0.795975322
144,0.788044437,RF,0.799955288,0.760707208,0.591102582,145,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.262707562,0.201368421,0.290874862,0.670877406,0.142222222,0.012857889,0.081692308,0.797535108
76,0.785409981,RF,0.794643306,0.748449886,0.591047919,77,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 20}",0.278931782,0.205684211,0.312713178,0.669528988,0.126222222,0.016520376,0.065586538,0.797422998
154,0.786178804,RF,0.795993222,0.751498614,0.591013421,155,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 20}",0.274986779,0.205578947,0.306976744,0.669456773,0.129777778,0.0142372,0.071192308,0.797617721
120,0.785046729,RF,0.793861743,0.748086885,0.590957217,121,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 10}",0.278889476,0.209789474,0.310808416,0.668028001,0.127111111,0.008265413,0.077365385,0.796999706
102,0.784281432,RF,0.792387592,0.744281851,0.590833148,103,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 8}",0.284093072,0.211894737,0.317408638,0.667517916,0.121777778,0.010104493,0.071192308,0.797064575
82,0.780927526,RF,0.785968796,0.731433184,0.59072039,83,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 5}",0.300285563,0.215894737,0.339246955,0.666260739,0.107555556,0.013782654,0.056298077,0.796079441
2,0.780923999,RF,0.785928333,0.731430271,0.590693918,3,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 5}",0.300274987,0.218,0.33820598,0.666419292,0.107555556,0.015611285,0.053817308,0.796084729
150,0.785790866,RF,0.795495517,0.751237111,0.590566458,151,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 20}",0.275007932,0.211789474,0.304075305,0.668250805,0.130666667,0.009644723,0.077990385,0.797162701
111,0.785036149,RF,0.794056637,0.747816599,0.590452746,112,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 8}",0.279576943,0.201473684,0.315548173,0.668427997,0.126222222,0.012398119,0.071134615,0.797100417
94,0.778310704,RF,0.780768718,0.721574468,0.590451108,95,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}",0.312554204,0.217894737,0.356323367,0.664939187,0.096888889,0.015611285,0.046384615,0.795278453
56,0.785032622,RF,0.794096598,0.747453406,0.590386458,57,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 10}",0.280232681,0.205684211,0.314640089,0.66882486,0.125333333,0.016520376,0.064971154,0.797216993
45,0.790290954,RF,0.804760983,0.77122834,0.590261453,46,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 10}",0.249116869,0.177157895,0.28234773,0.673043614,0.155555556,0.017439916,0.084778846,0.797663788
153,0.789536237,RF,0.80350681,0.767866277,0.590223838,154,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': False, 'max_depth': 20}",0.253675304,0.174947368,0.289988926,0.672423997,0.151111111,0.015151515,0.084769231,0.797606792
51,0.787282666,RF,0.798895027,0.758313556,0.590079006,52,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': False, 'max_depth': 10}",0.265954521,0.172842105,0.308881506,0.670449237,0.139555556,0.012398119,0.080432692,0.797244962
34,0.785029095,RF,0.794347085,0.747976249,0.589986757,35,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 8}",0.27958752,0.203684211,0.314684385,0.668613971,0.126222222,0.016071055,0.066230769,0.797095129
95,0.779425145,RF,0.783310011,0.726701777,0.589980713,96,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 5}",0.306081438,0.205684211,0.352469546,0.666735464,0.103111111,0.021572623,0.042673077,0.795403725
100,0.783939341,RF,0.792208769,0.744606765,0.589940442,101,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 8}",0.283437335,0.203473684,0.320310078,0.667212926,0.123555556,0.009639498,0.073009615,0.796503555
59,0.786168224,RF,0.796634786,0.754168979,0.589565276,60,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': False, 'max_depth': 10}",0.271136965,0.191368421,0.308017719,0.670426136,0.135111111,0.022946708,0.063067308,0.796875962
65,0.791412449,RF,0.807807346,0.779229499,0.589543363,66,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 20}",0.238117398,0.171157895,0.269080842,0.673763864,0.168,0.016525601,0.094730769,0.796941301
60,0.786182331,RF,0.796687798,0.754976787,0.589512835,61,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 20}",0.269804336,0.203578947,0.300354374,0.668140017,0.136888889,0.009184953,0.082942308,0.796653387
90,0.776434491,RF,0.777736754,0.716225426,0.589510181,91,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 5}",0.31902697,0.224105263,0.362923588,0.663349106,0.092444444,0.015151515,0.043923077,0.794264293
14,0.777175101,RF,0.7789401,0.718391559,0.589508652,15,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 10, 'bootstrap': True, 'max_depth': 5}",0.316456901,0.224105263,0.359246955,0.663613021,0.094222222,0.016530825,0.043288462,0.794660438
40,0.785787339,RF,0.796105365,0.753514825,0.589234372,41,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 10}",0.271792702,0.212,0.299490587,0.667316057,0.135111111,0.008270637,0.082961538,0.796548093
6,0.780550168,RF,0.785705767,0.732160094,0.589166752,7,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}",0.299005817,0.22,0.335459579,0.665362511,0.110222222,0.016985371,0.053778846,0.79538598
142,0.786185858,RF,0.79724562,0.756008965,0.589104294,143,"{'n_estimators': 500, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.268492861,0.203473684,0.298427464,0.668351632,0.138666667,0.011024033,0.081721154,0.796420236
20,0.782814318,RF,0.790263238,0.741427286,0.588855747,21,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 8}",0.287297726,0.207578947,0.324053156,0.665654813,0.120888889,0.009639498,0.071163462,0.795906693
24,0.785025569,svm_rbf,0.794566663,0.747832808,0.588787145,25,"{'kernel': 'rbf', 'C': 100, 'gamma': 0.0001}",0.280243258,0.159052632,0.336456257,0.666504953,0.125333333,0,0.087298077,0.797211705
96,0.778310704,RF,0.781877603,0.724103922,0.58865896,97,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': True, 'max_depth': 5}",0.309328398,0.219894737,0.350653378,0.664089256,0.101333333,0.016530825,0.048230769,0.794669134
57,0.786171751,RF,0.797242841,0.756457407,0.588489938,58,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 15, 'bootstrap': False, 'max_depth': 10}",0.267858276,0.189157895,0.304097453,0.669681091,0.139555556,0.020658307,0.069288462,0.796293084
25,0.786929995,RF,0.798842843,0.759182678,0.588338678,26,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 10, 'bootstrap': False, 'max_depth': 8}",0.26463247,0.191368421,0.298471761,0.669439514,0.142222222,0.017904911,0.074903846,0.796572654
92,0.776060659,RF,0.777302484,0.716092303,0.588303799,93,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 5}",0.319037546,0.224105263,0.36290144,0.662256159,0.093333333,0.014691745,0.045153846,0.79381456
152,0.784662317,RF,0.794645331,0.750503278,0.588143864,153,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.275684823,0.205789474,0.307906977,0.666731613,0.132444444,0.010099269,0.078615385,0.795935366
110,0.781301358,RF,0.787824331,0.736356084,0.588124504,111,"{'n_estimators': 500, 'criterion': 'entropy', 'min_samples_split': 2, 'bootstrap': True, 'max_depth': 8}",0.293802221,0.218105263,0.328748616,0.664278011,0.115555556,0.010099269,0.066855769,0.795321112
62,0.785812026,RF,0.796693247,0.755434645,0.588027863,63,"{'n_estimators': 200, 'criterion': 'gini', 'min_samples_split': 5, 'bootstrap': True, 'max_depth': 20}",0.269169751,0.205684211,0.298449612,0.667000367,0.138666667,0.009644723,0.083528846,0.796081791
78,0.783544348,RF,0.79253476,0.745604878,0.587997565,79,"{'n_estimators': 200, 'criterion': 'entropy', 'min_samples_split': 20, 'bootstrap': True, 'max_depth': 20}",0.282168165,0.207684211,0.31654485,0.666943212,0.126222222,0.017904911,0.063721154,0.795804806
